,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
0,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
4314,2008,14422,74772,16396,261/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=420/2008&comboTribunal=pr
4315,2008,14422,74810,34992,205/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=312/08&comboTribunal=pr
4316,2008,14422,74810,36362,299/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=446/08&comboTribunal=pr
4317,2008,14422,74810,35004,217/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=324/08&comboTribunal=pr
4318,2008,14422,74810,36343,298/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=445/08&comboTribunal=pr
4319,2008,14422,74810,35006,219/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=326/08&comboTribunal=pr
4320,2008,14422,74810,7194,175/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=282/08&comboTribunal=pr
4321,2008,14422,75205,25940,296/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=730/08&comboTribunal=pr
4322,2008,14422,75205,25946,297/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=731/08&comboTribunal=pr
4323,2008,14422,74896,3774,150/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=380/2008&comboTribunal=pr
4324,2008,14422,74934,27549,351/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1034&comboTribunal=pr
4325,2008,14422,74950,31106,414,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=610&comboTribunal=pr
